ShowProviderID	ShowID	ProviderID	ProviderShowID	ShowCost_ShowCostType	ShowCost_Money_CurrencyID	ShowCost_Money_Amount	ShowCost_Description	ShowCost_RentalHours
sp858	858	moviesmovies	moviesmovies858	PayPerView	USD	9.95	$9.95	72
sp859	859	vodflicks	vodflicks859	PayPerView	USD	3.95	$3.95	72
sp860	860	excellentvideos	excellentvideos860	Free			Free	72
sp861	861	internetvideos	internetvideos861	Subscription			Subscription	72
sp862	862	moviesmovies	moviesmovies862	PayPerView	USD	2.95	$2.95	72
sp863	863	vodflicks	vodflicks863	PayPerView	USD	4.95	$4.95	72
sp864	864	excellentvideos	excellentvideos864	PayPerView	USD	9.95	$9.95	72
sp865	865	internetvideos	internetvideos865	PayPerView	USD	3.95	$3.95	72
sp866	866	moviesmovies	moviesmovies866	Free			Free	72
sp867	867	vodflicks	vodflicks867	Subscription			Subscription	72
sp868	868	excellentvideos	excellentvideos868	PayPerView	USD	2.95	$2.95	72
sp869	869	internetvideos	internetvideos869	PayPerView	USD	4.95	$4.95	72
sp870	870	moviesmovies	moviesmovies870	PayPerView	USD	9.95	$9.95	72
sp901	901	vodflicks	vodflicks901	PayPerView	USD	3.95	$3.95	72
sp902	902	excellentvideos	excellentvideos902	Free			Free	72
sp903	903	internetvideos	internetvideos903	Subscription			Subscription	72
sp904	904	moviesmovies	moviesmovies904	PayPerView	USD	2.95	$2.95	72
sp905	905	vodflicks	vodflicks905	PayPerView	USD	4.95	$4.95	72
sp906	906	excellentvideos	excellentvideos906	PayPerView	USD	9.95	$9.95	72
sp907	907	internetvideos	internetvideos907	PayPerView	USD	3.95	$3.95	72
sp908	908	moviesmovies	moviesmovies908	Free			Free	72
sp909	909	vodflicks	vodflicks909	Subscription			Subscription	72
sp910	910	excellentvideos	excellentvideos910	PayPerView	USD	2.95	$2.95	72
sp911	911	internetvideos	internetvideos911	PayPerView	USD	4.95	$4.95	72
sp912	912	moviesmovies	moviesmovies912	PayPerView	USD	9.95	$9.95	72
sp913	913	vodflicks	vodflicks913	PayPerView	USD	3.95	$3.95	72
sp914	914	excellentvideos	excellentvideos914	Free			Free	72
sp915	915	internetvideos	internetvideos915	Subscription			Subscription	72
sp916	916	moviesmovies	moviesmovies916	PayPerView	USD	2.95	$2.95	72
sp917	917	vodflicks	vodflicks917	PayPerView	USD	4.95	$4.95	72
sp918	918	excellentvideos	excellentvideos918	PayPerView	USD	9.95	$9.95	72
sp919	919	internetvideos	internetvideos919	PayPerView	USD	3.95	$3.95	72
sp920	920	moviesmovies	moviesmovies920	Free			Free	72
sp921	921	vodflicks	vodflicks921	Subscription			Subscription	72
sp922	922	excellentvideos	excellentvideos922	PayPerView	USD	2.95	$2.95	72
sp923	923	internetvideos	internetvideos923	PayPerView	USD	4.95	$4.95	72
sp924	924	moviesmovies	moviesmovies924	PayPerView	USD	9.95	$9.95	72
sp925	925	vodflicks	vodflicks925	PayPerView	USD	3.95	$3.95	72
sp926	926	excellentvideos	excellentvideos926	Free			Free	72
sp927	927	internetvideos	internetvideos927	Subscription			Subscription	72
sp928	928	moviesmovies	moviesmovies928	PayPerView	USD	2.95	$2.95	72
sp929	929	vodflicks	vodflicks929	PayPerView	USD	4.95	$4.95	72
sp930	930	excellentvideos	excellentvideos930	PayPerView	USD	9.95	$9.95	72
sp1036	1036	internetvideos	internetvideos1036	PayPerView	USD	3.95	$3.95	72
sp1037	1037	moviesmovies	moviesmovies1037	Free			Free	72
sp1038	1038	vodflicks	vodflicks1038	Subscription			Subscription	72
sp1039	1039	excellentvideos	excellentvideos1039	PayPerView	USD	2.95	$2.95	72
sp1040	1040	internetvideos	internetvideos1040	PayPerView	USD	4.95	$4.95	72
sp1041	1041	moviesmovies	moviesmovies1041	PayPerView	USD	9.95	$9.95	72
sp1042	1042	vodflicks	vodflicks1042	PayPerView	USD	3.95	$3.95	72
sp1043	1043	excellentvideos	excellentvideos1043	Free			Free	72
sp1044	1044	internetvideos	internetvideos1044	Subscription			Subscription	72
sp1045	1045	moviesmovies	moviesmovies1045	PayPerView	USD	2.95	$2.95	72
sp1046	1046	vodflicks	vodflicks1046	PayPerView	USD	4.95	$4.95	72
sp1047	1047	excellentvideos	excellentvideos1047	PayPerView	USD	9.95	$9.95	72
sp1048	1048	internetvideos	internetvideos1048	PayPerView	USD	3.95	$3.95	72
sp1049	1049	moviesmovies	moviesmovies1049	Free			Free	72
sp1050	1050	vodflicks	vodflicks1050	Subscription			Subscription	72
sp1066	1066	excellentvideos	excellentvideos1066	PayPerView	USD	2.95	$2.95	72
sp1067	1067	internetvideos	internetvideos1067	PayPerView	USD	4.95	$4.95	72
sp1068	1068	moviesmovies	moviesmovies1068	PayPerView	USD	9.95	$9.95	72
sp1069	1069	vodflicks	vodflicks1069	PayPerView	USD	3.95	$3.95	72
sp1070	1070	excellentvideos	excellentvideos1070	Free			Free	72
sp1071	1071	internetvideos	internetvideos1071	Subscription			Subscription	72
sp1072	1072	moviesmovies	moviesmovies1072	PayPerView	USD	2.95	$2.95	72
sp1073	1073	vodflicks	vodflicks1073	PayPerView	USD	4.95	$4.95	72
sp1074	1074	excellentvideos	excellentvideos1074	PayPerView	USD	9.95	$9.95	72
sp1075	1075	internetvideos	internetvideos1075	PayPerView	USD	3.95	$3.95	72
sp1076	1076	moviesmovies	moviesmovies1076	Free			Free	72
sp1077	1077	vodflicks	vodflicks1077	Subscription			Subscription	72
sp1078	1078	excellentvideos	excellentvideos1078	PayPerView	USD	2.95	$2.95	72
sp1079	1079	internetvideos	internetvideos1079	PayPerView	USD	4.95	$4.95	72
sp1080	1080	moviesmovies	moviesmovies1080	PayPerView	USD	9.95	$9.95	72
sp1111	1111	vodflicks	vodflicks1111	PayPerView	USD	3.95	$3.95	72
sp1112	1112	excellentvideos	excellentvideos1112	Free			Free	72
sp1113	1113	internetvideos	internetvideos1113	Subscription			Subscription	72
sp1114	1114	moviesmovies	moviesmovies1114	PayPerView	USD	2.95	$2.95	72
sp1115	1115	vodflicks	vodflicks1115	PayPerView	USD	4.95	$4.95	72
sp1116	1116	excellentvideos	excellentvideos1116	PayPerView	USD	9.95	$9.95	72
sp1117	1117	internetvideos	internetvideos1117	PayPerView	USD	3.95	$3.95	72
sp1118	1118	moviesmovies	moviesmovies1118	Free			Free	72
sp1119	1119	vodflicks	vodflicks1119	Subscription			Subscription	72
sp1120	1120	excellentvideos	excellentvideos1120	PayPerView	USD	2.95	$2.95	72
sp1121	1121	internetvideos	internetvideos1121	PayPerView	USD	4.95	$4.95	72
sp1122	1122	moviesmovies	moviesmovies1122	PayPerView	USD	9.95	$9.95	72
sp1123	1123	vodflicks	vodflicks1123	PayPerView	USD	3.95	$3.95	72
sp1124	1124	excellentvideos	excellentvideos1124	Free			Free	72
sp1125	1125	internetvideos	internetvideos1125	Subscription			Subscription	72
sp1126	1126	moviesmovies	moviesmovies1126	PayPerView	USD	2.95	$2.95	72
sp1127	1127	vodflicks	vodflicks1127	PayPerView	USD	4.95	$4.95	72
sp1128	1128	excellentvideos	excellentvideos1128	PayPerView	USD	9.95	$9.95	72
sp1129	1129	internetvideos	internetvideos1129	PayPerView	USD	3.95	$3.95	72
sp1130	1130	moviesmovies	moviesmovies1130	Free			Free	72
sp1131	1131	vodflicks	vodflicks1131	Subscription			Subscription	72
sp1132	1132	excellentvideos	excellentvideos1132	PayPerView	USD	2.95	$2.95	72
sp1133	1133	internetvideos	internetvideos1133	PayPerView	USD	4.95	$4.95	72
sp1134	1134	moviesmovies	moviesmovies1134	PayPerView	USD	9.95	$9.95	72
sp1135	1135	vodflicks	vodflicks1135	PayPerView	USD	3.95	$3.95	72
sp1136	1136	excellentvideos	excellentvideos1136	Free			Free	72
sp1137	1137	internetvideos	internetvideos1137	Subscription			Subscription	72
sp1138	1138	moviesmovies	moviesmovies1138	PayPerView	USD	2.95	$2.95	72
sp1139	1139	vodflicks	vodflicks1139	PayPerView	USD	4.95	$4.95	72
sp1140	1140	excellentvideos	excellentvideos1140	PayPerView	USD	9.95	$9.95	72
