ShowID	Name	EpisodeName	EpisodeNumber	ReleasedOn	ReleasedYear	Description	RunningMins	PictureURL	RatingID	IsAdult
762	One Step Beyond: The Vision				1960	Starring: John Newland	25			FALSE
763	Orphans of The Storm				1921	Starring: Monte Blue, Lillian Gish & Dorothy Gish	150			FALSE
764	Our Gang - Bear Shooters				1930	Starring: Jackie Cooper & Norman 'Chubby' Chaney	20			FALSE
765	Our Gang - School's Out				1930	Starring: Jackie Cooper & Matthew 'Stymie' Beard	21			FALSE
766	Our Gang Follies of 1938				1937	Starring: Buckwheat Thomas, Darla Hood & Alfalfa	21			FALSE
767	Friends	The One Where Rachel's Sister Baby-Sits	327		2003	Rachel convinces her sister (Christina Applegate) to baby-sit over Ross' protests; Joey writes a letter to an adoption agency on Monica and Chandler's behalf.	30			FALSE
768	Out Of It				1969	Starring: Barry J. Gordon, Jon Voight & Lada Edmund Jr	88			FALSE
769	Outback				1971	Starring: Donald Pleasence, Gary Bond & Sylvia Kay	97			FALSE
770	Outlaw, The				1943	Starring: Walter Huston & Jane Russell	116			FALSE
771	Outlaws Paradise				1939	Starring: Tim McCoy, Joan Barclay & Dave O'Brien	55			FALSE
772	Ozzie & Harriet: A Cruise For Harriet				1952	Starring: Ozzie Nelson, David Nelson & Ricky Nelson	24			FALSE
773	Ozzie & Harriet: An Evening with Hamlet				1959	Starring: Ozzie Nelson, David Nelson & Ricky Nelson	25			FALSE
774	Ozzie & Harriet: An Old Friend Of June				1959	Starring: Ozzie Nelson, David Nelson & Ricky Nelson	26			FALSE
775	Ozzie & Harriet: Breakfast For Harriet				1952	Starring: Ozzie Nelson, David Nelson & Ricky Nelson	23			FALSE
776	Ozzie & Harriet: David Goofs Off				1952	Starring: Ozzie Nelson, David Nelson & Ricky Nelson	24			FALSE
777	Ozzie & Harriet: Kris Plays Cupid				1952	Starring: Ozzie Nelson, David Nelson & Ricky Nelson	23			FALSE
778	Ozzie & Harriet: Making Wally Study				1959	Starring: Ozzie Nelson, David Nelson & Ricky Nelson	25			FALSE
779	Ozzie & Harriet: Orchids and Violets				1960	Starring: Ozzie Nelson, David Nelson & Ricky Nelson	25			FALSE
780	Ozzie & Harriet: Pills				1962	Starring: Ozzie Nelson, David Nelson & Ricky Nelson	26			FALSE
781	Ozzie & Harriet: Rick and His Dinner Guest				1952	Starring: Ozzie Nelson, David Nelson & Ricky Nelson	23			FALSE
782	Ozzie & Harriet: Separate Rooms				1952	Starring: Ozzie Nelson, David Nelson & Ricky Nelson	25			FALSE
783	Ozzie & Harriet: The 14 Mile HIke				1953	Starring: Ozzie Nelson, David Nelson & Ricky Nelson	25			FALSE
784	Ozzie & Harriet: The Fraternity Rents A Room				1962	Starring: Ozzie Nelson, David Nelson & Ricky Nelson	26			FALSE
785	Paleface, The - Buster Keaton Classic				1922	Starring: Buster Keaton & Joe Roberts	21			FALSE
786	Panamints Bad Man				1938	Starring: Smith Ballew, Evelyn Daw & Noah Beery	60			FALSE
787	Panic in the City				1968	Starring: Dennis Hopper & Howard Duff	97			FALSE
788	Paradise in Harlem				1939	Starring: Edna Mae Harris, Mamie Smith & Frank Wilson	85			FALSE
789	Pardon My Pups				1934	Starring: Shirley Temple & Kenneth Howell	18			FALSE
790	Passion to Kill, A				1999	Starring: Stephanie Beaton & Ron Ford	89			FALSE
791	Pearl Harbor				1945	Starring: N/A	8			FALSE
792	Peeping in a Girl's Dormitory				2001	Starring: Tina Krause, Misty Mundae	22			FALSE
793	Penny Serenade				1941	Starring: Irene Dunne & Cary Grant	117			FALSE
794	Perfect Panties Contest				1997	Starring: Kelly Ashton & Eve Ellis	55			TRUE
795	Phantom Creeps, The Episode 1				1939	Starring: Bela Lugosi, Robert Kent & Dorothy Arnold	21			FALSE
826	Popeye: Spooky Swabs				1953	Starring: Popeye the Sailor	6			FALSE
827	Priscilla Up Close				1986	Starring: Pricilla	25			TRUE
828	Prisoner in the Middle				1974	Starring: David Janssen, Karin Dor & Pupik Arnon	87			FALSE
829	Private Nurse				1978	Starring: Agnes Lemercier, Patrice Chéron & Gilbert Servien	63			FALSE
830	Project Kill				1977	Starring: Leslie Nielsen, Gary Lockwood, Nancy Kwan	92			FALSE
831	Proud and the Damned, The				1972	Starring: Chuck Conners & Cesar Romero	95			FALSE
832	Psycho Sisters				1998	Starring: J.J. North, Theresa Lynn & Nancy Sirianni	88			FALSE
833	Public Enemy				1998	Starring: Ike Gingrich, Dyrk Ashton & Don Bass	85			FALSE
834	Queen Kathryn				1998	Starring: Kathryn Hudson, Bob Rudd & Todd Champagne	84			FALSE
835	Queen of the Amazons				1947	Starring: Robert Lowery, Patricia Morison & J. Edward Brombe	60			FALSE
836	Quicksand				1950	Starring: Mickey Rooney & Peter Lorre	78			FALSE
837	Racket Squad: The Case of the Hearse Chasers				1950	Starring: Reed Hadley & Jack Larue	26			FALSE
838	Rage of Paris				1938	Starring: Douglas Fairbanks Jr., Danielle Darrieux & Mischa	77			FALSE
839	Railroaded				1947	Starring: John Ireland, Sheila Ryan & Hugh Beaumont	72			FALSE
840	Raw Energy				1996	Starring: Robert Rundle & Amanda Rushing	86			FALSE
841	Red Fury, The				1984	Starring: Wendy Lynne & Calvin Bartlett	104			FALSE
842	Red Hot				1995	Starring: Johnny Luv	55			TRUE
843	Red Light Stalker				1998	Starring: Stephanie Beaton, Janine Stillo & Sheila Redgrave	88			FALSE
844	Red Rope, The				1937	Starring: Bob Steele	60			FALSE
845	Reefer Madness				1938	Starring: Dave O'Brien	65			FALSE
846	Resurrection of Zachary Wheeler, The				1971	Starring: Leslie Nielsen & Angie Dickinson	99			FALSE
847	Revenge of the Wives				1997	Starring: Carolyn Smith, Joy Stanton & Marie Gutierrez	82			FALSE
848	Revenge Quest				1996	Starring: Brian Gluhak, Christopher Michael Egger & Jennifer	82			FALSE
849	Rhythm of Adventure				1968	Starring: Roberto Carlos, José Lewgoy & Reginaldo Farias	97			FALSE
850	Riddled with Bullets				1998	Starring: Ron Ford & Wes Deitrick	84			FALSE
851	Ride in the Whirlwind				1967	Starring: Jack Nicholson	82			FALSE
852	Riders of Destiny				1933	Starring: John Wayne	55			FALSE
853	Riders of the Desert				1932	Starring: Bob Steele, George	57			FALSE
854	Riders of the Whistling Skull				1937	Starring: Robert Livingston, Max Terhune & Ray Corrigan	53			FALSE
855	Rim of the Canyon				1949	Starring: Gene Autry & Alan Hale Jr	70			FALSE
856	Road to Bali				1952	Starring: Bob Hope, Bing Crosby & Dorothy Lamour	90			FALSE
857	Road to Hollywood, The				1938	Starring: Bing Crosby	51			FALSE
858	Robin Hood - The Miser				1959	Starring: Richard Greene, Bernadette O'Farrell & Alexander G	26			FALSE
859	Robin Hood - Brother Battle				1958	Starring: Richard Greene, Bernadette O'Farrell & Alexander G	26			FALSE
860	Robin Hood - The Vandals				1955	Starring: Richard Greene, Bernadette O'Farrell & Alexander G	25			FALSE
861	Robin Hood of the Pecos				1941	Starring: Roy Rogers, Gabby Hayes & Trigger	52			FALSE
862	Robinson Crusoe Of Clipper Island Ep.1				1936	Starring: Mala, Mamo Clark & Herbert Rawlinson	29			FALSE
863	Robinson Crusoe Of Clipper Island Ep.10				1936	Starring: Mala, Mamo Clark & Herbert Rawlinson	15			FALSE
864	Robinson Crusoe Of Clipper Island Ep.11				1936	Starring: Mala, Mamo Clark & Herbert Rawlinson	15			FALSE
865	Robinson Crusoe Of Clipper Island Ep.12				1936	Starring: Mala, Mamo Clark & Herbert Rawlinson	15			FALSE
866	Robinson Crusoe Of Clipper Island Ep.13				1936	Starring: Mala, Mamo Clark & Herbert Rawlinson	17			FALSE
867	Robinson Crusoe Of Clipper Island Ep.14				1936	Starring: Mala, Mamo Clark & Herbert Rawlinson	15			FALSE
868	Robinson Crusoe Of Clipper Island Ep.2				1936	Starring: Mala, Mamo Clark & Herbert Rawlinson	19			FALSE
869	Robinson Crusoe Of Clipper Island Ep.3				1936	Starring: Mala, Mamo Clark & Herbert Rawlinson	17			FALSE
870	Robinson Crusoe Of Clipper Island Ep.4				1936	Starring: Mala, Mamo Clark & Herbert Rawlinson	16			FALSE
901	Santa Claus				1959	Starring: Jose Elias Moreno	95			FALSE
902	Santa Claus Conquers The Martians				1964	Starring: Pia Zadora	79			FALSE
903	Santa Claws				1996	Starring: Debbie Rochon & Christine Cavilier	83			FALSE
904	Satan's School for Lust				2002	Starring: Misty Mundae, Darian Caine, Barbara Joyce	65			FALSE
905	Saurians				1996	Starring: Mark Alan Polonia & Mark Davis	77			FALSE
906	Scar, The				1948	Starring: Paul Henreid & Joan Bennet	70			FALSE
907	Scarlet Letter, The				1934	Starring: Colleen Moore, Hardie Albright & Alen Hale	68			FALSE
908	Scarlet Pimpernel: Sword of Justice				1950	Starring: Marius Goring & Anthony Newlands	26			FALSE
909	Scarlet Street				1945	Starring: Edward G. Robertson & Joan Bennett	103			FALSE
910	School For Sex				1968	Starring: Derek Aylward & Rose Alba	77			FALSE
911	School For Unclaimed Girls				1969	Starring: Madeleine Hinde, Renée Asherson & Dennis Waterman	93			FALSE
912	School Girls Exposed				2002	Starring: N/A	35			TRUE
913	Screaming Mimi				1958	Starring: Anita Ekberg, Philip Carey & Gypsy Rose Lee	78			FALSE
914	Screaming, The				2000	Starring: Vincent Bilancio, John F. Goff & Elizabeth Barris	84			FALSE
915	Scrooge				1935	Starring: Seymous Hicks, Donald Calthrop & Mary Glynne	60			FALSE
916	Sea Raiders: Episode 1				1941	Starring: Billy Halop, Huntz Hall & Gabriel Dell	20			FALSE
917	Sea Raiders: Episode 10				1941	Starring: Billy Halop, Huntz Hall & Gabriel Dell	18			FALSE
918	Sea Raiders: Episode 11				1941	Starring: Billy Halop, Huntz Hall & Gabriel Dell	17			FALSE
919	Sea Raiders: Episode 12				1941	Starring: Billy Halop, Huntz Hall & Gabriel Dell	17			FALSE
920	Sea Raiders: Episode 2				1941	Starring: Billy Halop, Huntz Hall & Gabriel Dell	18			FALSE
921	Sea Raiders: Episode 3				1941	Starring: Billy Halop, Huntz Hall & Gabriel Dell	20			FALSE
922	Sea Raiders: Episode 4				1941	Starring: Billy Halop, Huntz Hall & Gabriel Dell	21			FALSE
923	Sea Raiders: Episode 5				1941	Starring: Billy Halop, Huntz Hall & Gabriel Dell	19			FALSE
924	Sea Raiders: Episode 6				1941	Starring: Billy Halop, Huntz Hall & Gabriel Dell	20			FALSE
925	Sea Raiders: Episode 7				1941	Starring: Billy Halop, Huntz Hall & Gabriel Dell	18			FALSE
926	Sea Raiders: Episode 8				1941	Starring: Billy Halop, Huntz Hall & Gabriel Dell	18			FALSE
927	Sea Raiders: Episode 9				1941	Starring: Billy Halop, Huntz Hall & Gabriel Dell	17			FALSE
928	Search for the Pink Diamond				1968	Starring: Roberto Carlos, Erasmo Carlos & José Lewgoy	99			FALSE
929	Second Woman, The				1951	Starring: Robert Young & Betsy Drake	91			FALSE
930	Secret Agent, The				1936	Starring: Madeleine Carroll & Peter Lorre	83			FALSE
1036	Surfer Dudes				1985	Starring: Nancy Carol, Bonnie Butler & Cheri Christen	81			FALSE
1037	Suspiria				1977	Starring: Jessica Harper	97			FALSE
1038	Svengali				1931	Starring: John Barrymore & Marian Marsh	81			FALSE
1039	Sweet Dreams				1996	Starring: Summer Leigh & Ashleigh Taylor	55			TRUE
1040	Sweet Evil				1995	Starring: Al Sapienza, Andrea Riave & Douglass De Marco	89			FALSE
1041	Sweet Evil II: Sapphire				1998	Starring: Bruce Hammond, Alana Sosnova & Miranda O' Dell	83			FALSE
1042	Swing Parade of 1946				1946	Starring: Gale Storm, Phil Regan & The Three Stooges	74			FALSE
1043	Take, The				1974	Starring: Billy Dee Williams, Frankie Avalon & Eddie Albert	88			FALSE
1044	Tales From the Three Stooges I				1962	Starring: Three Stooges	51			FALSE
1045	Tales From the Three Stooges II				1962	Starring: Three Stooges	48			FALSE
1046	Taming of the Shrew, The				1929	Pickford and Fairbanks do a fantasic job as Katharina and Petruchio, her playing the man hating, unmanagable woman and him playing her tough, strict and stern husband. Based on the Shakespearian play of the same name, this film is a comedy classic.	65			FALSE
1047	Tangled				1996	Starring: Yolanda Androzzo, Alfredo Vicente & Rich Komenich	91			FALSE
1048	Tanks A Million				1941	Starring: James Gleason, Noah Beery, Jr. & William Tracy	50			FALSE
1049	Tarzan and the Green Goddess				1938	Starring: Bruce Bennett & Ula Holt	68			FALSE
1050	Tarzan of the Apes				1918	Starring: Elmo Lincoln, Enid Markey & Gordon Griffith	60			FALSE
1066	Three Stooges, The	Brideless Groom			1947	Starring: Moe Howard, Larry Fine, Shemp Howard	17			FALSE
1067	The Three Stooges: Disorder in the Court				1936	Starring: Moe Howard, Larry Fine, Curly Howard	16			FALSE
1068	The Three Stooges: Flatheads				1966	Starring: The Three Stooges	10			FALSE
1069	The Three Stooges: Flycycle Built For Two				1964	Starring: The Three Stooges	7			FALSE
1070	The Three Stooges: Gagster Dragster				1964	Starring: The Three Stooges	6			FALSE
1071	The Three Stooges: Hair Brained Barbers				1966	Starring: The Three Stooges	6			FALSE
1072	The Three Stooges: Malice in the Palace				1949	Starring: The Three Stooges	16			FALSE
1073	The Three Stooges: Safari so Good				1965	Starring: The Three Stooges	5			FALSE
1074	The Three Stooges: Sing a Song of Six Pants				1947	Starring: Moe Howard, Larry Fine & Shemp Howard	17			FALSE
1075	The Three Stooges: Tee For Three				1966	Starring: The Three Stooges	6			FALSE
1076	The Three Stooges: There Auto Be A Law				1965	Starring: The Three Stooges	3			FALSE
1077	The Three Stooges: Thimk or Thwim				1965	Starring: The Three Stooges	7			FALSE
1078	Theater of Blood				1973	Starring: Vincent Price	103			FALSE
1079	Things				1995	Starring: Courtney Lercara & Neil Delama	81			FALSE
1080	Things To Come				1936	Starring: Raymond Massey, Ann Todd & Ralph Richardson	91			FALSE
1111	Trouble With Father - Father's Boy				1952	Starring: Stuart Erwin, June Collyer & Merry Anders	25			FALSE
1112	Trouble With Father - Father's Pet				1952	Starring: Stuart Erwin, June Collyer & Merry Anders	25			FALSE
1113	Trouble With Father - Jackie Knows All				1955	Starring: Stuart Erwin, June Collyer & Merry Anders	25			FALSE
1114	Trouble With Father - Landlord				1954	Starring: Stuart Erwin, June Collyer & Merry Anders	25			FALSE
1115	Trouble With Father - Leave It To Stu				1950	Starring: Stuart Erwin, June Collyer & Merry Anders	25			FALSE
1116	Trouble With Father - Many Happy Returns				1954	Starring: Stuart Erwin, June Collyer & Merry Anders	26			FALSE
1117	Trouble With Father - Nothing But The Truth				1953	Starring: Stuart Erwin, June Collyer & Merry Anders	25			FALSE
1118	Trouble With Father - Spooks				1952	Starring: Stuart Erwin, June Collyer & Merry Anders	25			FALSE
1119	Trouble With Father - Springtime For Father				1955	Starring: Stuart Erwin, June Collyer & Merry Anders	25			FALSE
1120	Troy Up Close				1987	Starring: Troy	30			TRUE
1121	Tumbleweed Trail				1942	Starring: Lee Powell, Art Davis & Bill Boyd	52			FALSE
1122	Under California Stars				1948	Starring: Roy Rogers, Jane Frazee & andy Devine	69			FALSE
1123	Under Western Stars				1938	Starring: Roy Rogers, Smiley Burnette & Trigger	57			FALSE
1124	Underwear Affair, The				1998	Starring: Sam Phillips, Sara St. James & Mason Marconi	55			TRUE
1125	Unknown World				1951	Starring: Bruce Kellogg, Marilyn Nash & Victor Kilian	70			FALSE
1126	Up the Chastity Belt				1971	Starring: Frankie Howerd, Anne Aston & Graham Crowden	90			FALSE
1127	Urban Combat				1996	Starring: Margie Rey, Gloria Lusiak & Julia A. Johnson	84			FALSE
1128	Utah				1945	Starring: Roy Rogers, Dale Evans & Gabby Hayes	77			FALSE
1129	Utopia				1950	Starring: Stan Laurel & Oliver Hardy	82			FALSE
1130	Vampire Ecstasy				1973	Starring: N/A	103			FALSE
1131	Vampire Obsession				2002	Starring: Darian Caine, Jade Duboir & Allanah Rhodes	75			FALSE
1132	Vampire Queen				2002	Starring: Debbie Rochon, Darian Caine & Kelli Summers	21			FALSE
1133	Vampire Vixens				2002	Starring: Mia Copia, Misty Mundae & A.J. Khan	79			FALSE
1134	Vampire's Seduction				1998	Starring: Tina Krause & Debbie Rochon	55			FALSE
1135	Vamps Deadly Dreamgirls				1996	Starring: Jennifer Huss Paul Morris	89			FALSE
1136	Vampyr				1931	Starring: Julian West, Sybille Schmitz & Maurice Schutz	73			FALSE
1137	Very Naked Discoveries				2000	Starring: Tyler Lynn	55			TRUE
1138	Vibrating Maid, The				2001	Starring: Misty Mundae & Lily Tiger	26			FALSE
1139	Vicious Sweet, The				1997	Starring: Sasha Graham, Theresa Constantine & Bob Licata	90			FALSE
1140	Virginia Up Close				1988	Starring: Virginia	25			TRUE
